field	value	known_to_og_impkimmo
root	in`here	NO
root	in`herit	NO
root	in`hibit	NO
root	in`holding	NO
root	i`nimical	NO
root	i`niquity	NO
root	i`nitial	NO
root	in`itial	NO
root	i`nitiate	NO
root	in`ject	NO
root	in`junction	NO
root	in`junctive	NO
root	`injure	NO
root	`inkblot	NO
root	`inkling	NO
root	`ink	NO
root	`inkstand	NO
root	`inkwell	NO
root	`inlaid	NO
root	`inland	NO
root	`inlay	NO
root	`inlet	NO
root	in-loco-parentis	NO
root	`inmate	NO
root	in-medias-res	NO
root	in-memoriam	NO
root	`inmost	NO
root	`innards	NO
root	in`nate	NO
root	`inner	NO
root	`inning	NO
root	`innkeeper	NO
root	`inn	NO
root	in	NO
root	`innocent	NO
root	in`nocuous	NO
root	`innovate	NO
root	innu`endo	NO
root	I	NO
root	i`noculate	NO
root	in`ordinate	NO
root	`input	NO
root	`inquest	NO
root	in`quire	NO
root	inqui`sition	NO
root	in`quisitor	NO
root	`inroad	NO
root	in`scribe	NO
root	in`scrutable	NO
root	`insect	NO
root	in`seminate	NO
root	`insert	NO
root	in`sert	NO
root	`inset	NO
root	in`shore	NO
root	in`side	NO
root	in`sidious	NO
root	`insight	NO
root	in`signia	NO
root	in`sinuate	NO
root	in`sipid	NO
root	in`sist	NO
root	in-situ	NO
root	inso`far	NO
root	`insolent	NO
root	in`somniac	NO
root	in`somnia	NO
root	inso`much	NO
root	in`souciant	NO
root	in`spect	NO
root	in`spire	NO
root	in`stall	NO
root	`instance	NO
root	instan`taneous	NO
root	`instant	NO
root	in`state	NO
root	in`stead	NO
root	`instep	NO
root	`instigate	NO
root	in`still	NO
root	`instinct	NO
root	`institute	NO
root	in`struct	NO
root	`instrument	NO
root	`insular	NO
root	`insulate	NO
root	`insulin	NO
root	`insult	NO
root	in`sult	NO
root	in`superable	NO
root	in`sure	NO
root	in`surgent	NO
root	insur`rection	NO
root	in`tact	NO
root	`intake	NO
root	`integer	NO
root	`integral	NO
root	`integrand	NO
root	`integrate	NO
root	in`tegrity	NO
root	in`tegument	NO
root	`intellect	NO
root	in`telligent	NO
root	intelli`gentsia	NO
root	in`telligible	NO
root	in`tend	NO
root	in`tense	NO
root	in`tent	NO
root	inter-alia	NO
root	inter-alios	NO
root	inter`calate	NO
root	inter`cept	NO
root	`intercom	NO
root	inter`dict	NO
root	`interest	NO
root	inter`fere	NO
root	interfe`rometer	NO
root	`interim	NO
root	in`terior	NO
root	inter`ject	NO
root	`interlude	NO
root	inter`mediary	NO
root	inter`mediate	NO
root	inter`mit	NO
root	in`ternal	NO
root	inter`necine	NO
root	`Internet	NO
root	`intern	NO
root	in`tern	NO
root	in`ter	NO
root	in`terpolate	NO
root	in`terpolatory	NO
root	in`terpret	NO
root	inter`regnum	NO
root	in`terrogate	NO
root	inter`rogatory	NO
root	inter`rupt	NO
root	inter`sect	NO
root	inter`sperse	NO
root	`interstice	NO
root	in`terstice	NO
root	inter`twine	NO
root	`interval	NO
root	inter`vene	NO
root	`interview	NO
root	in`testate	NO
root	in`testine	NO
root	`intimate	NO
root	in`timidate	NO
root	`intonate	NO
root	in`tone	NO
root	`into	NO
root	in-toto	NO
root	in`toxicate	NO
root	in`transigent	NO
root	in`trench	NO
root	in`trepid	NO
root	`intricate	NO
root	`intrigue	NO
root	in`trigue	NO
root	in`trinsic	NO
root	intro`duce	NO
root	`introit	NO
root	intro`ject	NO
root	intro`spect	NO
root	`introvert	NO
root	in`trude	NO
root	in`tuit	NO
root	`inundate	NO
root	i`nure	NO
root	in`vade	NO
root	`invalid	NO
root	in`variant	NO
root	in`vective	NO
root	in`veigh	NO
root	in`veigle	NO
root	in`vent	NO
root	`inventory	NO
root	in`verse	NO
root	in`vert	NO
root	in`vestigate	NO
root	in`vestiture	NO
root	in`vest	NO
root	in`veterate	NO
root	in`vidious	NO
root	in`vigorate	NO
root	in`violate	NO
root	in`vite	NO
root	`invocate	NO
root	`invoice	NO
root	in`voke	NO
root	`involute	NO
root	invo`lution	NO
root	in`volve	NO
root	`inward	NO
root	`inwards	NO
root	`iodate	NO
root	`iodide	NO
root	`iodine	NO
root	`ion	NO
root	i`onosphere	NO
root	i`ota	NO
root	`Iowa	NO
root	`ipecac	NO
root	ipsi`lateral	NO
root	ipso-facto	NO
root	I`ran	NO
root	I`raq	NO
root	i`rascible	NO
root	i`rate	NO
root	`Ireland	NO
root	`ire	NO
root	i`ridium	NO
root	`Irish	NO
root	`iris	NO
root	`irk	NO
root	`iron	NO
root	`ironside	NO
root	`ironstone	NO
root	`ironwood	NO
root	`irony	NO
root	`Iroquois	NO
root	ir`radiate	NO
root	irre`dentism	NO
root	irre`dentist	NO
root	`irrigate	NO
root	`irritate	NO
root	ir`rupt	NO
root	isen`tropic	NO
root	`isinglass	NO
root	Is`lamabad	NO
root	`Islam	NO
root	`island	NO
root	`isle	NO
root	i`sochronal	NO
root	i`sochronous	NO
root	iso`clinal	NO
root	`isolate	NO
root	`isomer	NO
root	iso`morphic	NO
root	`isomorph	NO
root	`isopleth	NO
root	`isotherm	NO
root	`isotope	NO
root	iso`tropic	NO
root	i`sotropy	NO
root	`Israelite	NO
root	`Israel	NO
root	`issue	NO
root	`Istanbul	NO
root	`isthmus	NO
root	i`talic	NO
root	`Italy	NO
root	`itch	NO
root	`item	NO
root	`iterate	NO
root	i`tinerary	NO
root	i`tinerate	NO
root	it	NO
root	it`self	NO
root	its	NO
root	`ivory	NO
root	`ivy	NO
root	`jabber	NO
root	`jab	NO
root	`jackanapes	NO
root	`jackass	NO
root	`jackboot	NO
root	`jackdaw	NO
root	`jacket	NO
root	`jackhammer	NO
root	`jackknife	NO
root	`jack	NO
root	`jackpot	NO
root	`Jackson	NO
root	`jade	NO
root	`jag	NO
root	`jaguar	NO
root	`jailhouse	NO
root	`jail	NO
root	`Jain	NO
root	Ja`karta	NO
root	ja`lopy	NO
root	Ja`maica	NO
root	jambo`ree	NO
root	`jam	NO
root	`jangle	NO
root	`janitor	NO
root	`January	NO
root	Ja`pan	NO
root	`jargon	NO
root	`jar	NO
root	`jasper	NO
root	`jaundice	NO
root	`jaunt	NO
root	`jaunty	NO
root	`Java	NO
root	`javelin	NO
root	`jawbone	NO
root	`jaw	NO
root	`jay	NO
root	`jazz	NO
root	`jealous	NO
root	`jean	NO
root	`jeans	NO
root	`jeep	NO
root	`jeer	NO
root	Je`hovah	NO
root	je`june	NO
root	je`junum	NO
root	`jellyfish	NO
root	`jelly	NO
root	je-ne-sais-quoi	NO
root	`jenny	NO
root	`jeopardy	NO
root	`Jericho	NO
root	`jerk	NO
root	`jersey	NO
root	`Jersey	NO
root	Je`rusalem	NO
root	`jess	NO
root	`jest	NO
root	`jesuit	NO
root	`Jesuit	NO
root	`Jesus	NO
root	`jetliner	NO
root	`jet	NO
root	`jettison	NO
root	`jewel	NO
root	`Jew	NO
root	`jibe	NO
root	`jib	NO
root	`jiffy	NO
root	`jiggle	NO
root	`jig	NO
root	`jigsaw	NO
root	ji`had	NO
root	`jilt	NO
root	`jimmy	NO
root	`jingle	NO
root	`jinx	NO
root	`jitterbug	NO
root	`jitter	NO
root	`jive	NO
root	`jobholder	NO
root	`job	NO
root	`jockey	NO
root	`jock	NO
root	`jockstrap	NO
root	jo`cose	NO
root	`jocular	NO
root	`jocund	NO
root	`joey	NO
root	`joggle	NO
root	`jog	NO
root	Jo`hannesburg	NO
root	joi-de-vivre	NO
root	`join	NO
root	`joint	NO
root	`joist	NO
root	`joke	NO
root	`jolly	NO
root	`jolt	NO
root	`jonquil	NO
root	`Jordan	NO
root	`joss	NO
root	`jostle	NO
root	`jot	NO
root	`joule	NO
root	`jounce	NO
root	`journal	NO
root	`journeyman	NO
root	`journey	NO
root	`joust	NO
root	`jovial	NO
root	`jowl	NO
root	`joy	NO
root	`joyride	NO
root	`joystick	NO
root	`jubilant	NO
root	`jubilate	NO
root	jubi`lee	NO
root	Ju`daic	NO
root	`Judaism	NO
root	Ju`dea	NO
root	`judge	NO
root	judg`matic	NO
root	`judicatory	NO
root	`judicature	NO
root	ju`dicial	NO
root	ju`diciary	NO
root	ju`dicious	NO
root	`judo	NO
root	`jugate	NO
root	`juggle	NO
root	`jug	NO
root	`juice	NO
root	`jujube	NO
root	`juju	NO
root	`juke	NO
root	`julep	NO
root	`Julias	NO
root	Ju`ly	NO
root	`jumble	NO
root	`jumbo	NO
root	`jump	NO
root	`jumpstart	NO
root	`junco	NO
root	`junction	NO
root	`juncture	NO
root	`Juneau	NO
root	`June	NO
root	`jungle	NO
root	`Jung	NO
root	`junior	NO
root	`juniper	NO
root	`junk	NO
root	`junta	NO
root	`Jupiter	NO
root	ju`ridical	NO
root	juris`diction	NO
root	juris`prudence	NO
root	juris`prudent	NO
root	`jurist	NO
root	`juror	NO
root	`jury	NO
root	`justice	NO
root	jus`ticiable	NO
root	`just	NO
root	`jute	NO
root	`jut	NO
root	`juvenile	NO
root	`juxtapose	NO
root	`Kabul	NO
root	`kaiser	NO
root	Kalama`zoo	NO
root	ka`leidoscope	NO
root	`kale	NO
root	kami`kaze	NO
root	Kam`pala	NO
root	kanga`roo	NO
root	`Kansas	NO
root	`kaolin	NO
root	`kapok	NO
root	`kappa	NO
root	Ka`rachi	NO
root	ka`rate	NO
root	Kathman`du	NO
root	Katman`du	NO
root	`kava	NO
root	`kayak	NO
root	ka`zoo	NO
root	`keel	NO
root	`keen	NO
root	`keep	NO
root	`keg	NO
root	`kelp	NO
root	`kennel	NO
root	`kennels	NO
root	`ken	NO
root	`keno	NO
root	Ken`tucky	NO
root	`Kenya	NO
root	`kerb	NO
root	`kerchief	NO
root	`kernel	NO
root	`kern	NO
root	`kerosene	NO
root	ke`rygma	NO
root	`kestrel	NO
root	`ketch	NO
root	`ketchup	NO
root	`ketone	NO
root	ke`tosis	NO
root	`kettle	NO
root	`keyboard	NO
root	`keyhole	NO
root	`key	NO
root	`keynote	NO
root	`keypunch	NO
root	`keystone	NO
root	`keyword	NO
root	`khaki	NO
root	`khan	NO
root	Khar`toum	NO
root	kib`butz	NO
root	ki`bitz	NO
root	`kickback	NO
root	`kick	NO
root	`kickoff	NO
root	`kidnap	NO
root	`kidney	NO
root	`kid	NO
root	Ki`ev	NO
root	`killdeer	NO
root	`killjoy	NO
root	`kill	NO
root	`kiln	NO
root	`kilo	NO
root	ki`mono	NO
root	`kindergarten	NO
root	`kindle	NO
root	`kind	NO
root	`kindred	NO
root	kine`matic	NO
root	`kine	NO
root	ki`nesic	NO
root	kines`thesia	NO
root	ki`netic	NO
root	`kinfolk	NO
root	`kingbird	NO
root	`kingfisher	NO
root	`king	NO
root	`kingpin	NO
root	`Kingston	NO
root	`kink	NO
root	`kin	NO
root	`kinsfolk	NO
root	Kin`shasha	NO
root	`kinsman	NO
root	`kiosk	NO
root	`Kiowa	NO
root	`kirk	NO
root	`kiss	NO
root	`kitchen	NO
root	`kite	NO
root	`kith	NO
root	`kit	NO
root	`kitten	NO
root	`kitty	NO
root	`klansman	NO
root	`klaxon	NO
root	`kleenex	NO
root	`kludge	NO
root	`klystron	NO
root	`knack	NO
root	`knapsack	NO
root	`knave	NO
root	`knead	NO
root	`kneecap	NO
root	`kneel	NO
root	`knee	NO
root	`knell	NO
root	`knickers	NO
root	`knick-knack	NO
root	`knife	NO
root	`knight	NO
root	`knit	NO
root	`knob	NO
root	`knockdown	NO
root	`knock	NO
root	`knockout	NO
root	`knoll	NO
root	`knot	NO
root	`knowhow	NO
root	`knowledge	NO
root	`know	NO
root	`knuckleball	NO
root	`knuckle	NO
root	`knurl	NO
root	ko`ala	NO
root	`Kodiak	NO
root	kohl`rabi	NO
root	Ko`ran	NO
root	Ko`rea	NO
root	`kosher	NO
root	`kowtow	NO
root	`kraft	NO
root	Kraka`toa	NO
root	`Krakow	NO
root	`kraut	NO
root	`kremlin	NO
root	`Krishna	NO
root	`krypton	NO
root	`kudo	NO
root	`kudzu	NO
root	`kumquat	NO
root	`Kurd	NO
root	Ku`wait	NO
root	kwashi`orkor	NO
root	`Kyoto	NO
root	`label	NO
root	`labial	NO
root	`labile	NO
root	`lab	NO
root	`laboratory	NO
root	`labor	NO
root	`labour	NO
root	`Labrador	NO
root	`labyrinth	NO
root	`lace	NO
root	`lacerate	NO
root	`lacewing	NO
root	`Lacie	NO
root	lacka`daisic	NO
root	`lackey	NO
root	`lackluster	NO
root	`lack	NO
root	la`conic	NO
root	`lacquer	NO
root	la`crosse	NO
root	`lactate	NO
root	la`cuna	NO
root	la`custrine	NO
root	`ladder	NO
root	`laden	NO
root	`lade	NO
root	`ladle	NO
root	`lad	NO
root	`lady	NO
root	`lager	NO
root	`lag	NO
root	la`goon	NO
root	`Lagos	NO
root	`lair	NO
root	laissez-`faire	NO
root	`laity	NO
root	`lake	NO
root	`lakeside	NO
root	`lambda	NO
root	`lambert	NO
root	`lamb	NO
root	la`mella	NO
root	la`mellar	NO
root	`lame	NO
root	la`ment	NO
root	`lamina	NO
root	`laminar	NO
root	`laminate	NO
root	`lam	NO
root	`lampblack	NO
root	`lamplight	NO
root	`lamp	NO
root	lam`poon	NO
root	`lamprey	NO
root	`Lancaster	NO
root	`lance	NO
root	`landau	NO
root	`landfill	NO
root	`landhold	NO
root	`landlady	NO
root	`landlord	NO
root	`landmark	NO
root	`land	NO
root	`landown	NO
root	`landscape	NO
root	`landslide	NO
root	`landsman	NO
root	`lane	NO
root	`language	NO
root	`languid	NO
root	`languish	NO
root	`languor	NO
root	`lank	NO
root	`lanky	NO
root	`Lansing	NO
root	`lantern	NO
root	`lanthanide	NO
root	`lanthanum	NO
root	`lanyard	NO
root	`Laos	NO
root	la`pel	NO
root	`lapidary	NO
root	`lap	NO
root	`lappet	NO
root	`lapse	NO
root	`laptop	NO
root	`Laramie	NO
root	`larboard	NO
root	`larceny	NO
root	`larch	NO
root	`larder	NO
root	`lard	NO
root	La`redo	NO
root	`largemouth	NO
root	`large	NO
root	lar`gesse	NO
root	`lariat	NO
root	`lark	NO
root	`larkspur	NO
root	`larva	NO
root	`larynx	NO
root	la`sagna	NO
root	las`civious	NO
root	`lase	NO
root	`laser	NO
root	`lash	NO
root	`lassitude	NO
root	`lass	NO
root	las`so	NO
root	`last	NO
root	`latchet	NO
root	`latch	NO
root	`late	NO
root	`latent	NO
root	`lateral	NO
root	`laterite	NO
root	`latex	NO
root	`lathe	NO
root	`lather	NO
root	`lath	NO
root	`latin	NO
root	`Latin	NO
root	La`tino	NO
root	`latitude	NO
root	la`trine	NO
root	`latter	NO
root	`lattice	NO
root	`Latvia	NO
root	`laudanum	NO
root	`Lauderdale	NO
root	`laud	NO
root	`laughingstock	NO
root	`laugh	NO
root	`laughter	NO
root	`launch	NO
root	`launder	NO
root	`laundromat	NO
root	`laundry	NO
root	`laureate	NO
root	`laurel	NO
root	Lau`sanne	NO
root	la`vabo	NO
root	`lava	NO
root	`lavatory	NO
root	`lavender	NO
root	`lave	NO
root	`lavish	NO
root	`lawbreak	NO
root	`lawgive	NO
root	`lawmake	NO
root	`lawnmow	NO
root	`lawn	NO
root	`law	NO
root	law`rencium	NO
root	`lawsuit	NO
root	`lawyer	NO
root	`laxative	NO
root	`lax	NO
root	`layer	NO
root	lay`ette	NO
root	`layman	NO
root	`lay	NO
root	`layoff	NO
root	`layout	NO
root	`layup	NO
root	`laze	NO
root	`lazybones	NO
root	`lazy	NO
root	lb	NO
root	lbs	NO
root	`leachate	NO
root	`leach	NO
root	`lead	NO
root	`leadsman	NO
root	`leaf	NO
root	`league	NO
root	`leak	NO
root	`lean	NO
root	`lea	NO
root	`leapfrog	NO
root	`leap	NO
root	`learn	NO
root	`leasehold	NO
root	`lease	NO
root	`leash	NO
root	least	NO
root	`leatherback	NO
root	`leatherneck	NO
root	`leathern	NO
root	`leather	NO
root	`leatherwork	NO
root	`leaven	NO
root	`leave	NO
root	`Lebanon	NO
root	`lecher	NO
root	`lechery	NO
root	`lectern	NO
root	`lectionary	NO
root	`lecture	NO
root	`ledge	NO
root	`ledger	NO
root	`leech	NO
root	`leek	NO
root	`lee	NO
root	`leer	NO
root	`leery	NO
root	`leeway	NO
root	`left-hand	NO
root	`lefthand	NO
root	`left	NO
root	`leftover	NO
root	`lefty	NO
root	`legal	NO
root	`legate	NO
root	le`gate	NO
root	le`gato	NO
root	`legend	NO
root	`legerdemain	NO
root	`leghorn	NO
root	`legible	NO
root	`legion	NO
root	`legislate	NO
root	le`gitimate	NO
root	`leg	NO
root	le`gume	NO
root	`leisure	NO
root	`leitmotif	NO
root	`leitmotiv	NO
root	`lemma	NO
root	`lemming	NO
root	`lemon	NO
root	`lend	NO
root	`length	NO
root	`lenient	NO
root	`Leningrad	NO
root	`Lenin	NO
root	`lens	NO
root	len`ticular	NO
root	`lentil	NO
root	`Lent	NO
root	`Leo	NO
root	`leopard	NO
root	`leotard	NO
root	`leper	NO
root	`leprosy	NO
root	`lesbian	NO
root	`lesion	NO
root	Le`sotho	NO
root	`lessen	NO
root	`less	NO
root	less	NO
root	`lesson	NO
root	lest	NO
root	`lethal	NO
root	`lethargy	NO
root	`let	NO
root	`letterhead	NO
root	`letter	NO
root	`lettuce	NO
root	let+us	NO
root	leu`kemia	NO
root	`levee	NO
root	`level	NO
root	`lever	NO
root	le`viathan	NO
root	`levitate	NO
root	`levity	NO
root	`levy	NO
root	`lewd	NO
root	`lexical	NO
root	lexi`cography	NO
root	lexi`cology	NO
root	`lexicon	NO
root	`liable	NO
root	li`aison	NO
root	li`bation	NO
root	`libel	NO
root	`liberal	NO
root	`liberate	NO
root	Li`beria	NO
root	`libertine	NO
root	`liberty	NO
root	li`bido	NO
root	`Libra	NO
root	`library	NO
root	li`bration	NO
root	li`bretto	NO
root	`Libyan	NO
root	`Libya	NO
root	`licence	NO
root	`license	NO
root	li`centious	NO
root	`lichen	NO
root	`lick	NO
root	`licorice	NO
root	`lid	NO
root	`Liechtenstein	NO
root	`lien	NO
root	`lie	NO
root	`lieu	NO
root	lieu`tenant	NO
root	`lifeblood	NO
root	`lifeboat	NO
root	`lifeguard	NO
root	`lifelong	NO
root	`life	NO
root	`lifespan	NO
root	`lifestyle	NO
root	`lifetime	NO
root	`lift	NO
root	`liftoff	NO
root	`ligament	NO
root	`ligand	NO
root	`ligature	NO
root	`lightface	NO
root	`lighthouse	NO
root	`lightning	NO
root	`light	NO
root	`lightproof	NO
root	`lightweight	NO
root	`lignite	NO
root	`likely	NO
root	`liken	NO
root	`like	NO
root	`likewise	NO
root	`lilac	NO
root	`lilt	NO
root	`lily	NO
root	`Lima	NO
root	`limber	NO
root	`limbic	NO
root	`limb	NO
root	`limbo	NO
root	`limelight	NO
root	`lime	NO
root	`limestone	NO
root	`limit	NO
root	`limousine	NO
root	`limpet	NO
root	`limpid	NO
root	`limpkin	NO
root	`limp	NO
root	`linden	NO
root	`lineage	NO
root	`lineal	NO
root	`linear	NO
root	`linebacker	NO
root	`linen	NO
root	`line	NO
root	`lineup	NO
root	linge`rie	NO
root	`linger	NO
root	`lingo	NO
root	linguae-francae	NO
root	lingua-franca	NO
root	`lingual	NO
root	`lingua	NO
root	`linguist	NO
root	`liniment	NO
root	`link	NO
root	`links	NO
root	li`noleum	NO
root	`linseed	NO
root	`lint	NO
root	`lion	NO
root	`lipid	NO
root	`lip	NO
root	`lipread	NO
root	`lipstick	NO
root	li`queur	NO
root	`liquid	NO
root	`liquor	NO
root	`Lisbon	NO
root	`lisle	NO
root	`lisp	NO
root	`listen	NO
root	`list	NO
root	`litany	NO
root	`lite	NO
root	`literal	NO
root	`literary	NO
root	`literate	NO
root	`literature	NO
root	`liter	NO
root	`lithe	NO
root	`lithic	NO
root	`lithium	NO
root	`lithograph	NO
root	li`thography	NO
root	li`thology	NO
root	`lithosphere	NO
root	Lithu`ania	NO
root	`litigate	NO
root	`litigious	NO
root	`litmus	NO
root	`litre	NO
root	`litterbug	NO
root	`litter	NO
root	`littleneck	NO
root	`little	NO
root	`littoral	NO
root	li`turgic	NO
root	`liturgy	NO
root	`livelihood	NO
root	`livelong	NO
root	`live	NO
root	`Liverpool	NO
root	`livery	NO
root	`livestock	NO
root	`livid	NO
root	`lizard	NO
root	`load	NO
root	`loaf	NO
root	`loam	NO
root	`loan	NO
root	`loanword	NO
root	`loathe	NO
root	`loath	NO
root	`lobar	NO
root	`lobby	NO
root	`lobe	NO
root	`loblolly	NO
root	`lob	NO
root	`lobo	NO
root	lo`botomy	NO
root	`lobster	NO
root	`lobular	NO
root	`lobule	NO
root	lo`cale	NO
root	`local	NO
root	`locate	NO
root	`locket	NO
root	`lock	NO
root	`locknut	NO
root	`lockout	NO
root	`locksmith	NO
root	`lockstep	NO
root	`lockup	NO
root	`locomote	NO
root	loco`motive	NO
root	loco`motor	NO
root	loco`motory	NO
root	`locus	NO
root	`locust	NO
root	lo`cution	NO
root	`locutor	NO
root	`lodestone	NO
root	`lodge	NO
root	`lodgepole	NO
root	`loess	NO
root	`loft	NO
root	`lofty	NO
root	`logarithm	NO
root	`loge	NO
root	`loggerhead	NO
root	`logic	NO
root	lo`gistic	NO
root	`logjam	NO
root	`log	NO
root	`logo	NO
root	`loincloth	NO
root	`loin	NO
root	`loiter	NO
root	`lollipop	NO
root	`loll	NO
root	`London	NO
root	`lonely	NO
root	`lone	NO
root	`loner	NO
root	`lonesome	NO
root	lon`gevity	NO
root	`longhand	NO
root	`longitude	NO
root	`long	NO
root	long`standing	NO
root	long`suffering	NO
root	`longtime	NO
root	lo	NO
root	`look	NO
root	`lookout	NO
root	`lookup	NO
root	`loom	NO
root	`loon	NO
root	`loophole	NO
root	`loop	NO
root	`loose-leaf	NO
root	`loose	NO
root	`loosestrife	NO
root	`loot	NO
root	`lope	NO
root	`lop	NO
root	lo`quacious	NO
root	lo`quacity	NO
root	`lord	NO
root	`Lord	NO
root	`lore	NO
root	`lorry	NO
root	`lory	NO
root	`lose	NO
root	`loss	NO
root	`lossy	NO
root	lo`thario	NO
root	`lotion	NO
root	`lot	NO
root	`lots	NO
root	`lottery	NO
root	`lotus	NO
root	`loud	NO
root	`loudspeaker	NO
root	Louisi`ana	NO
root	`Louisville	NO
root	`lounge	NO
root	`Lourdes	NO
root	`louse	NO
root	`lout	NO
root	`lovebird	NO
root	`lovelorn	NO
root	`love	NO
root	`lowboy	NO
root	`lowdown	NO
root	`lowercase	NO
root	`lowering	NO
root	`lower	NO
root	`lowland	NO
root	`low	NO
root	`loyal	NO
root	`lozenge	NO
root	`lubber	NO
root	`lubricate	NO
root	lu`bricious	NO
root	lu`bricity	NO
root	Lu`cerne	NO
root	`lucid	NO
root	`Lucifer	NO
root	`luck	NO
root	`lucrative	NO
root	`lucre	NO
root	`ludicrous	NO
root	`luge	NO
root	`lug	NO
root	lu`gubrious	NO
root	luke`warm	NO
root	`lullaby	NO
root	`lull	NO
root	`lulu	NO
root	`lumbar	NO
root	`lumber	NO
root	`lumen	NO
root	`luminance	NO
root	`luminary	NO
root	lumi`nesce	NO
root	lumi`nescent	NO
root	lumi`nosity	NO
root	`luminous	NO
root	`lummox	NO
root	`lump	NO
root	`lunacy	NO
root	`lunar	NO
root	`lunate	NO
root	`lunatic	NO
root	`luncheon	NO
root	`lunch	NO
root	`lunchroom	NO
root	`lunchtime	NO
root	`lunge	NO
root	`lung	NO
root	`lupine	NO
root	`lurch	NO
root	`lure	NO
root	`lurid	NO
root	`lurk	NO
root	`luscious	NO
root	`lush	NO
root	`luster	NO
root	`lust	NO
root	`lustre	NO
root	`lute	NO
root	lu`tetium	NO
root	`Luther	NO
root	`Luxembourg	NO
root	`lux	NO
root	`luxury	NO
root	Lu`zon	NO
root	lyco`podium	NO
root	`lye	NO
root	`lymph	NO
root	`lymphocyte	NO
root	lym`phoma	NO
root	`lynch	NO
root	`lynx	NO
root	Ly`on	NO
root	`lyric	NO
root	ly`sergic	NO
root	`ma'am	NO
root	`Mabel	NO
root	ma`cabre	NO
root	Ma`cao	NO
root	ma`caque	NO
root	maca`roni	NO
root	ma`caw	NO
root	Mace`donia	NO
root	`mace	NO
root	machi`nation	NO
root	ma`chine	NO
root	ma`chismo	NO
root	`macho	NO
root	`macintosh	NO
root	`Macintosh	NO
root	`mackerel	NO
root	`mackinaw	NO
root	`mackintosh	NO
root	`mac	NO
root	`macrame	NO
root	`macro	NO
root	`macrophage	NO
root	macro`scopic	NO
root	Mada`gascar	NO
root	ma`dame	NO
root	`madam/ma`dame	NO
root	`madam	NO
root	`madcap	NO
root	`madhouse	NO
root	`Madison	NO
root	`madman	NO
root	`mad	NO
root	ma`donna	NO
root	Ma`drid	NO
root	`madrigal	NO
root	`maelstrom	NO
root	`maestro	NO
root	`magazine	NO
root	ma`genta	NO
root	`maggot	NO
root	`magic	NO
root	magis`terial	NO
root	`magistrate	NO
root	`magma	NO
root	magna-cum-laude	NO
root	magna`nimity	NO
root	mag`nanimous	NO
root	`magnate	NO
root	mag`nesia	NO
root	`magnesite	NO
root	mag`nesium	NO
root	`magnetite	NO
root	`magnet	NO
root	mag`neto	NO
root	`magnetron	NO
root	mag`nificent	NO
root	`magnify	NO
root	mag`niloquent	NO
root	`magnitude	NO
root	mag`nolia	NO
root	`magnum	NO
root	`magpie	NO
root	`magus	NO
root	maha`raja	NO
root	ma`hogany	NO
root	`maiden	NO
root	`maid	NO
root	`maidservant	NO
root	`mailbox	NO
root	`mail	NO
root	`maim	NO
root	`Maine	NO
root	`mainland	NO
root	`mainline	NO
root	`main	NO
root	`mainsail	NO
root	`mainstay	NO
root	`mainstream	NO
root	main`tain	NO
root	maitre-d'hotel	NO
root	`maize	NO
root	`majesty	NO
root	ma`jesty	NO
root	`major	NO
root	`make	NO
root	`makeshift	NO
root	`makeup	NO
root	`malady	NO
root	ma`laise	NO
root	`malaprop	NO
root	ma`laria	NO
root	Ma`lawi	NO
root	Ma`lay	NO
root	Ma`laysia	NO
root	`Maldives	NO
root	male`dict	NO
root	`malefactor	NO
root	`male	NO
root	ma`levolent	NO
root	mal`feasance	NO
root	`malice	NO
root	ma`lignant	NO
root	ma`lign	NO
root	ma`linger	NO
root	`Mali	NO
root	`mallard	NO
root	`malleable	NO
root	`mallet	NO
root	`mall	NO
root	`mallow	NO
root	`Malta	NO
root	`malt	NO
root	`mambo	NO
root	`mammal	NO
root	`mammon	NO
root	`mammoth	NO
root	`manacle	NO
root	`manage	NO
root	Ma`nagua	NO
root	`manatee	NO
root	`Manchester	NO
root	man`damus	NO
root	`mandarin	NO
root	`mandate	NO
root	`mandatory	NO
root	`mandible	NO
root	`mandrake	NO
root	`mandrel	NO
root	`mandrill	NO
root	`mane	NO
root	ma`neuver	NO
root	`manganese	NO
root	`mange	NO
root	`manger	NO
root	`mangle	NO
root	`mango	NO
root	`mangrove	NO
root	`manhandle	NO
root	Man`hattan	NO
root	`manhole	NO
root	`maniac	NO
root	`mania	NO
root	`manic	NO
root	`manicure	NO
root	`manifest	NO
root	mani`festo	NO
root	`manifold	NO
root	`manikin	NO
root	Ma`nila	NO
root	ma`nipulate	NO
root	Mani`toba	NO
root	`mankind	NO
root	`manna	NO
root	`mannequin	NO
root	`manner	NO
root	`mannikin	NO
root	`man	NO
root	`ma	NO
root	ma`noeuvre	NO
root	ma`nometer	NO
root	`manor	NO
root	`manpower	NO
root	`manse	NO
root	`manservant	NO
root	`mansion	NO
root	`manslaughter	NO
root	`mantel	NO
root	`mantelpiece	NO
root	`mantic	NO
root	`mantis	NO
root	man`tissa	NO
root	`mantle	NO
root	`mantrap	NO
root	`manual	NO
root	manu`facture	NO
root	manu`mit	NO
root	ma`nure	NO
root	`manuscript	NO
root	`Manx	NO
root	`many	NO
root	manza`nita	NO
root	`Maori	NO
root	`maple	NO
root	`map	NO
root	`marathon	NO
root	ma`raud	NO
root	`marble	NO
root	`march	NO
